"TableID","TableName","LastChange","Checksum"
"1","asset_definitions","2023-11-23 12:37:03","d4cbb29"
"2","event_status_definitions","2023-11-23 12:37:03","e4c5b559"
"3","location_definitions","2023-11-23 12:37:03","a9aec2be"
"5","specimen_bodypart_definitions","2023-12-04 11:14:49","d4cbb29"
"6","specimen_status_definitions","2023-11-23 12:37:03","ac2f26dc"
"7","unit_definitions","2023-12-01 16:44:38","64377436"
"8","unit_type_definitions","2023-12-01 16:38:00","f22e06e5"
"9","specimen_side_definitions","2023-11-23 12:37:03","1f2c2d75"
"10","specimen_sex_definitions","2023-11-23 12:37:03","18eba199"
"12","consumable_type_definitions","2023-11-23 12:37:03","666ec6a2"
"13","consumable_definitions","2023-11-23 12:37:03","d4cbb29"
"14","event_type_definitions","2023-11-23 12:37:03","a21b5d22"
"15","event_definitions","2023-11-23 13:03:16","d4cbb29"
